code,date,open,close,diff,rate
DJI@DJI,20171226,24715.84,24746.21,-7.85,-0.03
DJI@DJI,20171221,24778.26,24782.29,55.64,0.23
DJI@DJI,20171220,24838.09,24726.65,-28.1,-0.11
DJI@DJI,20171219,24834.38,24754.75,-37.45,-0.15
DJI@DJI,20171218,24739.56,24792.2,140.46,0.57
DJI@DJI,20171215,24585.71,24651.74,143.08,0.58
DJI@DJI,20171214,24631.01,24508.66,-76.77,-0.31
DJI@DJI,20171213,24525.19,24585.43,80.63,0.33
DJI@DJI,20171212,24452.96,24504.8,118.77,0.49
DJI@DJI,20171211,24338.11,24386.03,56.87,0.23
DJI@DJI,20171207,24116.6,24211.48,70.57,0.29
DJI@DJI,20171206,24171.9,24140.91,-39.73,-0.16
DJI@DJI,20171205,24335.01,24180.64,-109.41,-0.45
DJI@DJI,20171204,24424.11,24290.05,58.46,0.24
DJI@DJI,20171201,24305.4,24231.59,-40.76,-0.17
DJI@DJI,20171130,24013.8,24272.35,331.67,1.39
DJI@DJI,20171129,23883.26,23940.68,103.97,0.44
DJI@DJI,20171128,23625.19,23836.71,255.93,1.09
DJI@DJI,20171127,23552.86,23580.78,22.79,0.1
DJI@DJI,20171122,23597.24,23526.18,-64.65,-0.27
DJI@DJI,20171121,23500.15,23590.83,160.5,0.69
DJI@DJI,20171120,23370.71,23430.33,72.09,0.31
DJI@DJI,20171117,23433.77,23358.24,-100.12,-0.43
DJI@DJI,20171116,23365.34,23458.36,187.08,0.8
DJI@DJI,20171115,23334.59,23271.28,-138.19,-0.59
DJI@DJI,20171114,23388.4,23409.47,-30.23,-0.13
DJI@DJI,20171113,23367.47,23439.7,17.49,0.07
DJI@DJI,20171110,23432.71,23422.21,-39.73,-0.17
DJI@DJI,20171108,23542.6,23563.36,6.13,0.03
DJI@DJI,20171107,23574.03,23557.23,8.81,0.04
DJI@DJI,20171106,23533.96,23548.42,9.23,0.04
DJI@DJI,20171103,23549.59,23539.19,22.93,0.1
DJI@DJI,20171102,23463.24,23516.26,81.25,0.35
DJI@DJI,20171101,23442.9,23435.01,57.77,0.25
DJI@DJI,20171031,23369.22,23377.24,28.5,0.12
DJI@DJI,20171030,23405.75,23348.74,-85.45,-0.36
DJI@DJI,20171027,23419.16,23434.19,33.33,0.14
DJI@DJI,20171025,23431.09,23329.46,-112.3,-0.48
DJI@DJI,20171024,23346.78,23441.76,167.8,0.72
DJI@DJI,20171023,23348.95,23273.96,-54.67,-0.23
DJI@DJI,20171020,23205.18,23328.63,165.59,0.71
DJI@DJI,20171019,23107.47,23163.04,5.44,0.02
DJI@DJI,20171018,23087.13,23157.6,160.16,0.7
DJI@DJI,20171017,22952.41,22997.44,40.48,0.18
DJI@DJI,20171016,22892.92,22956.96,85.24,0.37
DJI@DJI,20171013,22876.43,22871.72,30.71,0.13
DJI@DJI,20171011,22827.65,22872.89,42.21,0.18
DJI@DJI,20171010,22784.76,22830.68,69.61,0.31
DJI@DJI,20171009,22779.73,22761.07,-12.6,-0.06
DJI@DJI,20171006,22762.03,22773.67,-1.72,-0.01
DJI@DJI,20171005,22669.08,22775.39,113.75,0.5
DJI@DJI,20171004,22645.67,22661.64,19.97,0.09
DJI@DJI,20171003,22564.45,22641.67,84.07,0.37
DJI@DJI,20171002,22423.47,22557.6,152.51,0.68
DJI@DJI,20170929,22358.47,22405.09,23.89,0.11
DJI@DJI,20170927,22330.93,22340.71,56.39,0.25
DJI@DJI,20170926,22322.03,22284.32,-11.77,-0.05
DJI@DJI,20170925,22320.47,22296.09,-53.5,-0.24
DJI@DJI,20170922,22334.07,22349.59,-9.64,-0.04
DJI@DJI,20170921,22414.02,22359.23,-53.36,-0.24
DJI@DJI,20170920,22351.38,22412.59,41.79,0.19
DJI@DJI,20170919,22349.7,22370.8,39.45,0.18
DJI@DJI,20170918,22297.92,22331.35,63.01,0.28
DJI@DJI,20170915,22252.44,22268.34,64.86,0.29
DJI@DJI,20170913,22103.47,22158.18,39.32,0.18
DJI@DJI,20170912,22090.56,22118.86,61.49,0.28
DJI@DJI,20170911,21927.79,22057.37,259.58,1.19
DJI@DJI,20170908,21764.43,21797.79,13.01,0.06
DJI@DJI,20170907,21820.38,21784.78,-22.86,-0.1
DJI@DJI,20170906,21815.76,21807.64,54.33,0.25
DJI@DJI,20170905,21912.37,21753.31,-234.25,-1.07
DJI@DJI,20170901,21981.77,21987.56,39.46,0.18
DJI@DJI,20170831,21936.01,21948.1,55.67,0.25
DJI@DJI,20170829,21718.0,21865.37,56.97,0.26
DJI@DJI,20170828,21832.5,21808.4,-5.27,-0.02
DJI@DJI,20170825,21819.08,21813.67,30.27,0.14
DJI@DJI,20170824,21839.9,21783.4,-28.69,-0.13
DJI@DJI,20170823,21850.27,21812.09,-87.8,-0.4
DJI@DJI,20170822,21739.78,21899.89,196.14,0.9
DJI@DJI,20170821,21671.36,21703.75,29.24,0.13
DJI@DJI,20170818,21724.88,21674.51,-76.22,-0.35
DJI@DJI,20170817,21984.74,21750.73,-274.14,-1.24
DJI@DJI,20170815,22029.91,21998.99,5.28,0.02
DJI@DJI,20170814,21945.64,21993.71,135.39,0.62
DJI@DJI,20170811,21883.32,21858.32,14.31,0.07
DJI@DJI,20170810,21988.2,21844.01,-204.69,-0.93
DJI@DJI,20170809,22022.34,22048.7,-36.64,-0.17
DJI@DJI,20170808,22095.14,22085.34,-33.08,-0.15
DJI@DJI,20170807,22100.2,22118.42,25.61,0.12
DJI@DJI,20170804,22058.39,22092.81,66.71,0.3
DJI@DJI,20170803,22007.58,22026.1,9.86,0.04
DJI@DJI,20170801,21961.42,21963.92,72.8,0.33
DJI@DJI,20170731,21863.39,21891.12,60.81,0.28
DJI@DJI,20170728,21787.51,21830.31,33.76,0.15
DJI@DJI,20170727,21717.42,21796.55,85.54,0.39
DJI@DJI,20170726,21690.38,21711.01,97.58,0.45
DJI@DJI,20170725,21638.56,21613.43,100.26,0.47
DJI@DJI,20170724,21577.78,21513.17,-66.9,-0.31
DJI@DJI,20170721,21591.72,21580.07,-31.71,-0.15
DJI@DJI,20170720,21641.54,21611.78,-28.97,-0.13
DJI@DJI,20170718,21589.94,21574.73,-54.99,-0.25
DJI@DJI,20170717,21633.97,21629.72,-8.02,-0.04
DJI@DJI,20170714,21532.77,21637.74,84.65,0.39
DJI@DJI,20170713,21537.19,21553.09,20.95,0.1
DJI@DJI,20170712,21467.93,21532.14,123.07,0.57
DJI@DJI,20170711,21410.17,21409.07,0.55,0.0
DJI@DJI,20170710,21381.23,21408.52,-5.82,-0.03
DJI@DJI,20170707,21354.66,21414.34,94.3,0.44
DJI@DJI,20170706,21423.93,21320.04,-158.13,-0.74
DJI@DJI,20170703,21392.3,21479.27,129.64,0.61
DJI@DJI,20170630,21348.6,21349.63,62.6,0.29
DJI@DJI,20170629,21487.38,21287.03,-167.58,-0.78
DJI@DJI,20170628,21372.36,21454.61,143.95,0.68
DJI@DJI,20170627,21411.19,21310.66,-98.89,-0.46
DJI@DJI,20170626,21434.68,21409.55,14.79,0.07
DJI@DJI,20170623,21380.92,21394.76,-2.53,-0.01
DJI@DJI,20170622,21407.98,21397.29,-12.74,-0.06
DJI@DJI,20170621,21466.39,21410.03,-57.11,-0.27
DJI@DJI,20170619,21444.75,21528.99,144.71,0.68
DJI@DJI,20170616,21335.93,21384.28,24.38,0.11
DJI@DJI,20170615,21291.69,21359.9,-14.66,-0.07
DJI@DJI,20170614,21342.71,21374.56,46.09,0.22
DJI@DJI,20170613,21256.83,21328.47,92.8,0.44
DJI@DJI,20170612,21259.95,21235.67,-36.3,-0.17
DJI@DJI,20170609,21208.96,21271.97,89.44,0.42
DJI@DJI,20170608,21169.76,21182.53,8.84,0.04
DJI@DJI,20170607,21171.57,21173.69,37.46,0.18
DJI@DJI,20170605,21195.03,21184.04,-22.25,-0.1
DJI@DJI,20170602,21142.09,21206.29,62.11,0.29
DJI@DJI,20170601,21030.55,21144.18,135.53,0.65
DJI@DJI,20170531,21048.46,21008.65,-20.82,-0.1
DJI@DJI,20170530,21045.49,21029.47,-50.81,-0.24
DJI@DJI,20170526,21070.15,21080.28,-2.67,-0.01
DJI@DJI,20170525,21062.96,21082.95,70.53,0.34
DJI@DJI,20170524,20949.21,21012.42,74.51,0.36
DJI@DJI,20170523,20908.67,20937.91,43.08,0.21
DJI@DJI,20170519,20698.28,20804.84,141.82,0.69
DJI@DJI,20170518,20579.65,20663.02,56.09,0.27
DJI@DJI,20170517,20846.17,20606.93,-372.82,-1.78
DJI@DJI,20170516,20984.48,20979.75,-2.19,-0.01
DJI@DJI,20170515,20923.63,20981.94,85.33,0.41
DJI@DJI,20170512,20893.19,20896.61,-22.81,-0.11
DJI@DJI,20170511,20925.72,20919.42,-23.69,-0.11
DJI@DJI,20170510,20958.49,20943.11,-32.67,-0.16
DJI@DJI,20170509,21022.28,20975.78,-36.5,-0.17
DJI@DJI,20170505,20929.04,21006.94,55.47,0.26
DJI@DJI,20170504,20987.83,20951.47,-6.43,-0.03
DJI@DJI,20170503,20915.0,20957.9,8.01,0.04
DJI@DJI,20170502,20941.19,20949.89,36.43,0.17
DJI@DJI,20170501,20962.73,20913.46,-27.05,-0.13
DJI@DJI,20170428,20987.39,20940.51,-40.82,-0.19
DJI@DJI,20170427,20991.12,20981.33,6.24,0.03
DJI@DJI,20170426,21009.95,20975.09,-21.03,-0.1
DJI@DJI,20170425,20915.51,20996.12,232.23,1.12
DJI@DJI,20170421,20578.1,20547.76,-30.95,-0.15
DJI@DJI,20170420,20406.68,20578.71,174.22,0.85
DJI@DJI,20170419,20503.52,20404.49,-118.79,-0.58
DJI@DJI,20170418,20561.39,20523.28,-113.64,-0.55
DJI@DJI,20170417,20484.75,20636.92,183.67,0.9
DJI@DJI,20170413,20561.69,20453.25,-138.61,-0.67
DJI@DJI,20170412,20637.95,20591.86,-59.44,-0.29
DJI@DJI,20170411,20644.32,20651.3,-6.72,-0.03
DJI@DJI,20170410,20668.22,20658.02,1.92,0.01
DJI@DJI,20170406,20653.77,20662.95,14.8,0.07
DJI@DJI,20170405,20745.06,20648.15,-41.09,-0.2
DJI@DJI,20170404,20634.94,20689.24,39.03,0.19
DJI@DJI,20170403,20665.17,20650.21,-13.01,-0.06
DJI@DJI,20170331,20700.34,20663.22,-65.27,-0.31
DJI@DJI,20170330,20662.79,20728.49,69.17,0.33
DJI@DJI,20170329,20675.75,20659.32,-42.18,-0.2
DJI@DJI,20170328,20542.14,20701.5,150.52,0.73
DJI@DJI,20170327,20488.35,20550.98,-45.74,-0.22
DJI@DJI,20170323,20645.07,20656.58,-4.72,-0.02
DJI@DJI,20170322,20640.42,20661.3,-6.71,-0.03
DJI@DJI,20170321,20956.33,20668.01,-237.85,-1.14
DJI@DJI,20170320,20916.27,20905.86,-8.76,-0.04
DJI@DJI,20170317,20965.37,20914.62,-19.93,-0.1
DJI@DJI,20170316,20969.27,20934.55,-15.55,-0.07
DJI@DJI,20170315,20874.78,20950.1,112.73,0.54
DJI@DJI,20170314,20848.6,20837.37,-44.11,-0.21
DJI@DJI,20170313,20899.28,20881.48,-21.5,-0.1
DJI@DJI,20170309,20864.32,20858.19,2.46,0.01
